time_ms,price,qty
1770773211919,68994.94000000,0.00014000
1770773212630,68994.93000000,0.00004000
1770773212630,68994.93000000,0.00052000
1770773213758,68994.93000000,0.00378000
1770773213758,68994.93000000,0.00140000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00015000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00048000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00008000
1770773213758,68994.93000000,0.00350000
1770773213758,68994.93000000,0.00330000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00166000
1770773213758,68994.93000000,0.00017000
1770773213758,68994.93000000,0.00009000
1770773213758,68994.93000000,0.00015000
1770773213758,68994.93000000,0.01398000
1770773214048,68994.94000000,0.00051000
1770773214140,68994.93000000,0.02886000
1770773215204,68994.94000000,0.01594000
1770773215204,68994.94000000,0.00350000
1770773215204,68994.94000000,0.00140000
1770773215204,68994.94000000,0.02775000
1770773215617,68994.93000000,0.01309000
1770773215718,68994.93000000,0.03177000
1770773215966,68994.93000000,0.10192000
1770773216312,68994.93000000,0.00011000
1770773216472,68994.93000000,0.02771000
1770773216472,68994.93000000,0.00015000
1770773216472,68994.93000000,0.00015000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00008000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00015000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00008000
1770773216472,68994.93000000,0.00008000
1770773216472,68994.93000000,0.00008000
1770773216472,68994.93000000,0.00008000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00009000
1770773216472,68994.93000000,0.00048000
1770773216472,68994.93000000,0.00008000
